2023-03-12T10:12:24.748+01:00 r=77083fab1c96 ip=0:0:0:0:0:0:0:1  WARN 11376 --- [http-nio-8080-exec-4] a.a.t.s.a.individual.config.LogFilter    : <<< GET /favicon.ico status=404 time=53ms
2023-03-12T10:12:26.557+01:00 r=f024176fdb2c ip=0:0:0:0:0:0:0:1  INFO 11376 --- [http-nio-8080-exec-5] a.a.t.s.a.individual.config.LogFilter    : >>> POST /h2-console/login.do?jsessionid=71c9a8ffdc8ef58ec952b7c9533a35ae UA=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36
2023-03-12T10:12:26.570+01:00 r=f024176fdb2c ip=0:0:0:0:0:0:0:1  INFO 11376 --- [http-nio-8080-exec-5] a.a.t.s.a.individual.config.LogFilter    : <<< POST /h2-console/login.do?jsessionid=71c9a8ffdc8ef58ec952b7c9533a35ae status=200 time=12ms
2023-03-12T10:12:26.645+01:00 r=6c52d8011236 ip=0:0:0:0:0:0:0:1  INFO 11376 --- [http-nio-8080-exec-8] a.a.t.s.a.individual.config.LogFilter    : >>> GET /h2-console/header.jsp?jsessionid=71c9a8ffdc8ef58ec952b7c9533a35ae UA=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36
2023-03-12T10:12:26.646+01:00 r=76139fe1d439 ip=0:0:0:0:0:0:0:1  INFO 11376 --- [http-nio-8080-exec-1] a.a.t.s.a.individual.config.LogFilter    : >>> GET /h2-console/help.jsp?jsessionid=71c9a8ffdc8ef58ec952b7c9533a35ae UA=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36
2023-03-12T10:12:26.647+01:00 r=1900aa070f99 ip=0:0:0:0:0:0:0:1  INFO 11376 --- [http-nio-8080-exec-10] a.a.t.s.a.individual.config.LogFilter    : >>> GET /h2-console/query.jsp?jsessionid=71c9a8ffdc8ef58ec952b7c9533a35ae UA=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36
2023-03-12T10:12:26.647+01:00 r=cf26033b60cd ip=0:0:0:0:0:0:0:1  INFO 11376 --- [http-nio-8080-exec-9] a.a.t.s.a.individual.config.LogFilter    : >>> GET /h2-console/tables.do?jsessionid=71c9a8ffdc8ef58ec952b7c9533a35ae UA=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36
2023-03-12T10:12:26.648+01:00 r=76139fe1d439 ip=0:0:0:0:0:0:0:1  INFO 11376 --- [http-nio-8080-exec-1] a.a.t.s.a.individual.config.LogFilter    : <<< GET /h2-console/help.jsp?jsessionid=71c9a8ffdc8ef58ec952b7c9533a35ae status=200 time=1ms
2023-03-12T10:12:26.650+01:00 r=6c52d8011236 ip=0:0:0:0:0:0:0:1  INFO 11376 --- [http-nio-8080-exec-8] a.a.t.s.a.individual.config.LogFilter    : <<< GET /h2-console/header.jsp?jsessionid=71c9a8ffdc8ef58ec952b7c9533a35ae status=200 time=4ms
2023-03-12T10:12:26.657+01:00 r=1900aa070f99 ip=0:0:0:0:0:0:0:1  INFO 11376 --- [http-nio-8080-exec-10] a.a.t.s.a.individual.config.LogFilter    : <<< GET /h2-console/query.jsp?jsessionid=71c9a8ffdc8ef58ec952b7c9533a35ae status=200 time=8ms
